文件路径,识别结果,位置,置信度,用时
Camera: 0,打哈欠,"[224, 1, 414, 502]",0.47331130504608154,0.021001577377319336
Camera: 0,睁眼,"[227, 78, 301, 146]",0.3456655740737915,0.019999027252197266
Camera: 0,睁眼,"[341, 72, 401, 139]",0.3586578965187073,0.019999027252197266
Camera: 0,打哈欠,"[224, 1, 414, 502]",0.4732932448387146,0.019999027252197266
Camera: 0,睁眼,"[227, 78, 301, 146]",0.34564119577407837,0.0240170955657959
Camera: 0,睁眼,"[341, 72, 401, 139]",0.3586302697658539,0.0240170955657959
Camera: 0,打哈欠,"[224, 1, 414, 502]",0.47332972288131714,0.0240170955657959
Camera: 0,睁眼,"[227, 78, 301, 146]",0.3427882790565491,0.02700185775756836
Camera: 0,睁眼,"[341, 72, 401, 139]",0.3581118881702423,0.02700185775756836
Camera: 0,打哈欠,"[224, 1, 414, 502]",0.4736217260360718,0.02700185775756836
Camera: 0,睁眼,"[227, 78, 301, 146]",0.3424089550971985,0.022003650665283203
Camera: 0,睁眼,"[341, 72, 401, 139]",0.35763224959373474,0.022003650665283203
Camera: 0,打哈欠,"[224, 1, 414, 502]",0.47357258200645447,0.022003650665283203
Camera: 0,未打哈欠,"[340, 28, 576, 551]",0.7764871120452881,0.022999286651611328
Camera: 0,未打哈欠,"[340, 28, 576, 551]",0.7764922976493835,0.023001432418823242
Camera: 0,未打哈欠,"[340, 28, 576, 551]",0.7765097618103027,0.016997098922729492
Camera: 0,未打哈欠,"[340, 28, 576, 551]",0.7764408588409424,0.030018329620361328
Camera: 0,未打哈欠,"[340, 28, 576, 551]",0.776597261428833,0.017999887466430664
Camera: 0,未打哈欠,"[339, 30, 574, 548]",0.7777729034423828,0.02500128746032715
Camera: 0,未打哈欠,"[338, 28, 575, 548]",0.7785935401916504,0.02100062370300293
Camera: 0,未打哈欠,"[338, 28, 575, 548]",0.7785592079162598,0.016996145248413086
Camera: 0,未打哈欠,"[338, 28, 575, 548]",0.7786191701889038,0.023996591567993164
Camera: 0,未打哈欠,"[338, 28, 575, 548]",0.778531014919281,0.016998291015625
Camera: 0,未打哈欠,"[339, 21, 577, 548]",0.780141294002533,0.02000141143798828
Camera: 0,未打哈欠,"[339, 21, 577, 548]",0.780097484588623,0.017995834350585938
Camera: 0,未打哈欠,"[339, 21, 577, 548]",0.7801327705383301,0.01899576187133789
Camera: 0,未打哈欠,"[339, 21, 577, 548]",0.7801310420036316,0.02699875831604004
Camera: 0,未打哈欠,"[339, 21, 577, 548]",0.7799802422523499,0.01900005340576172
Camera: 0,未打哈欠,"[339, 23, 577, 549]",0.7819568514823914,0.019999027252197266
Camera: 0,未打哈欠,"[339, 23, 577, 549]",0.781874418258667,0.021053314208984375
Camera: 0,未打哈欠,"[340, 24, 577, 549]",0.7824198603630066,0.02100086212158203
Camera: 0,未打哈欠,"[340, 24, 577, 549]",0.7813620567321777,0.022994041442871094
Camera: 0,未打哈欠,"[340, 24, 577, 549]",0.7817509174346924,0.019003629684448242
Camera: 0,未打哈欠,"[338, 45, 574, 551]",0.7844223380088806,0.020998716354370117
Camera: 0,未打哈欠,"[338, 45, 574, 551]",0.7844232320785522,0.01950860023498535
Camera: 0,未打哈欠,"[338, 45, 574, 551]",0.784468948841095,0.028179407119750977
Camera: 0,未打哈欠,"[338, 45, 574, 551]",0.7843074202537537,0.015997886657714844
Camera: 0,未打哈欠,"[338, 45, 574, 551]",0.7837492823600769,0.06799864768981934
Camera: 0,未打哈欠,"[340, 26, 577, 550]",0.7798081040382385,0.03417158126831055
Camera: 0,未打哈欠,"[340, 26, 577, 550]",0.7803635597229004,0.019997119903564453
Camera: 0,未打哈欠,"[340, 26, 577, 550]",0.7812321186065674,0.016998767852783203
Camera: 0,未打哈欠,"[341, 26, 577, 549]",0.7734860777854919,0.023932218551635742
Camera: 0,未打哈欠,"[342, 27, 577, 549]",0.7749781608581543,0.019032001495361328
Drowsiness_SIXU_A01076.jpg,睁眼,"[179, 110, 253, 164]",0.3523235321044922,0.020006656646728516
Drowsiness_SIXU_A01076.jpg,睁眼,"[303, 114, 368, 174]",0.37259650230407715,0.020006656646728516
Drowsiness_SIXU_A01076.jpg,打哈欠,"[139, 38, 386, 450]",0.4031211733818054,0.020006656646728516
Drowsiness_SIXU_A01076.jpg,睁眼,"[179, 110, 253, 164]",0.3523235321044922,0.02099442481994629
Drowsiness_SIXU_A01076.jpg,睁眼,"[303, 114, 368, 174]",0.37259650230407715,0.02099442481994629
Drowsiness_SIXU_A01076.jpg,打哈欠,"[139, 38, 386, 450]",0.4031211733818054,0.02099442481994629
Camera: 0,闭眼,"[475, 104, 534, 160]",0.38016459345817566,0.043023109436035156
Camera: 0,闭眼,"[582, 82, 634, 135]",0.4228476881980896,0.043023109436035156
Camera: 0,未打哈欠,"[433, 11, 635, 431]",0.6625668406486511,0.043023109436035156
Camera: 0,闭眼,"[475, 104, 534, 160]",0.3876226246356964,0.020995616912841797
Camera: 0,闭眼,"[582, 82, 633, 135]",0.4283529818058014,0.020995616912841797
Camera: 0,未打哈欠,"[432, 10, 635, 432]",0.6689090728759766,0.020995616912841797
Camera: 0,闭眼,"[475, 104, 534, 160]",0.38760554790496826,0.021019697189331055
Camera: 0,闭眼,"[582, 82, 633, 135]",0.4284243881702423,0.021019697189331055
Camera: 0,未打哈欠,"[432, 10, 635, 432]",0.6689569354057312,0.021019697189331055
Camera: 0,闭眼,"[475, 104, 534, 160]",0.38801681995391846,0.020998716354370117
Camera: 0,闭眼,"[582, 82, 633, 135]",0.4284115731716156,0.020998716354370117
Camera: 0,未打哈欠,"[432, 10, 635, 432]",0.6690494418144226,0.020998716354370117
Camera: 0,闭眼,"[471, 101, 533, 160]",0.4339723289012909,0.02581501007080078
Camera: 0,闭眼,"[579, 81, 630, 136]",0.44455769658088684,0.02581501007080078
Camera: 0,未打哈欠,"[432, 6, 636, 436]",0.6514940857887268,0.02581501007080078
Camera: 0,闭眼,"[471, 101, 533, 160]",0.43393927812576294,0.016997814178466797
Camera: 0,闭眼,"[579, 81, 630, 136]",0.44457492232322693,0.016997814178466797
Camera: 0,未打哈欠,"[432, 6, 636, 436]",0.6515110731124878,0.016997814178466797
Camera: 0,闭眼,"[471, 101, 533, 160]",0.4339648485183716,0.017896652221679688
Camera: 0,闭眼,"[579, 81, 630, 136]",0.44459396600723267,0.017896652221679688
Camera: 0,未打哈欠,"[432, 6, 636, 436]",0.6515131592750549,0.017896652221679688
Camera: 0,闭眼,"[471, 101, 533, 160]",0.43391141295433044,0.01999831199645996
Camera: 0,闭眼,"[579, 81, 630, 136]",0.4445551335811615,0.01999831199645996
Camera: 0,未打哈欠,"[432, 6, 636, 436]",0.6514800190925598,0.01999831199645996
Camera: 0,闭眼,"[471, 101, 533, 160]",0.434171199798584,0.019000768661499023
Camera: 0,闭眼,"[579, 81, 630, 136]",0.44463592767715454,0.019000768661499023
Camera: 0,未打哈欠,"[432, 6, 636, 436]",0.6514725685119629,0.019000768661499023
Camera: 0,闭眼,"[470, 101, 533, 161]",0.41724878549575806,0.022669315338134766
Camera: 0,闭眼,"[580, 81, 632, 136]",0.44986772537231445,0.022669315338134766
Camera: 0,未打哈欠,"[433, 7, 636, 432]",0.651508629322052,0.022669315338134766
Camera: 0,闭眼,"[470, 101, 533, 161]",0.4173450171947479,0.02100062370300293
Camera: 0,闭眼,"[580, 81, 632, 136]",0.449871689081192,0.02100062370300293
Camera: 0,未打哈欠,"[433, 7, 636, 432]",0.6515510678291321,0.02100062370300293
Camera: 0,闭眼,"[470, 101, 533, 161]",0.4170015752315521,0.019997835159301758
